#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
47,0.868281,1.213841,-0.002179,0.008519,0.004252,2975598.820862,3046457.086888,3035535.079094,3046332.665076,-1042189.585419,3274391.984749
48,0.868432,1.169048,-0.004129,0.010443,0.005328,2910786.480225,0.000000,3035535.079094,3046332.665076,-166511.864821,3274391.984749
49,0.868632,1.299151,-0.000660,0.006996,0.000170,3201690.252688,3046449.560173,3035535.079094,3046332.665076,687521.593072,3274391.984749
50,0.868756,1.206482,-0.001541,0.008746,0.007588,3034845.927950,0.000000,3035535.079094,3046332.665076,1313466.214283,3274391.984749
51,0.868939,1.231594,-0.000963,0.011881,0.006992,3269970.604079,0.000000,3035535.079094,3046332.665076,-884935.808302,3274391.984749
52,0.869995,1.207703,0.001329,0.009748,0.004400,2844684.185637,3046420.358262,3035535.079094,3046332.665076,-1250554.346249,3274391.984749
53,0.870093,1.232869,-0.004196,0.007522,0.005599,3166895.682267,0.000000,3035535.079094,3046332.665076,2107603.902065,3274391.984749
54,0.870700,1.267424,0.001864,0.009782,0.006290,3244612.621990,0.000000,3035535.079094,3046332.665076,-1843892.161780,3274391.984749
55,0.870742,1.210411,0.004641,0.011035,0.007560,2897008.082462,0.000000,3035535.079094,3046332.665076,1220316.576084,3274391.984749
56,0.870791,1.216483,0.000899,0.012085,0.010765,3244269.718616,0.000000,3035535.079094,3046332.665076,831831.538753,3274391.984749
57,0.870945,1.238316,-0.001528,0.010334,0.005223,3198145.669055,3046400.027516,3035535.079094,3046332.665076,-345773.047153,3274391.984749
58,0.871153,1.208979,-0.004668,0.008828,0.005105,3083386.562842,0.000000,3035535.079094,3046332.665076,-786297.021572,3274391.984749
59,0.871624,1.185374,-0.004151,0.008573,0.005572,2923700.503727,0.000000,3035535.079094,3046332.665076,2774878.397876,3274391.984749
60,0.872283,1.247652,0.000626,0.008177,0.008922,3197754.604740,3046371.360131,3035535.079094,3046332.665076,370075.774312,3274391.984749
61,0.872307,1.243924,-0.004007,0.006626,0.007152,3229896.400080,0.000000,3035535.079094,3046332.665076,534524.636177,3274391.984749
62,0.872503,1.257586,-0.003341,0.005378,0.005727,3179162.964810,0.000000,3035535.079094,3046332.665076,2201260.106387,3274391.984749
63,0.872574,1.264584,0.001463,0.007196,0.010958,3286767.819340,3046365.140054,3035535.079094,3046332.665076,1340971.448525,3274391.984749
64,0.872633,1.248473,0.001034,0.009589,0.011194,3320647.012409,3046363.869113,3035535.079094,3046332.665076,2719396.575615,3274391.984749
65,0.872959,1.213395,-0.001236,0.006465,0.005988,2885984.054698,0.000000,3035535.079094,3046332.665076,704229.404238,3274391.984749
66,0.873165,1.199244,0.000834,0.008629,0.009645,2947119.275376,3046352.485694,3035535.079094,3046332.665076,-567437.931572,3274391.984749
